1;[3];55;12;16;4
1;[5];314;210;238;100
1;[8];1804;1107;1333;686
1;[10];4031;2336;2896;1632
1;[15];13851;7004;9186;6015
1;[20];25505;308;476;186
1;[30];48855;22710;31371;21624
2;[5, 5];38540;406;755;150
2;[6, 6];131565;730;1484;406
3;[2, 2, 2];2262;36;73;9
3;[4, 4, 4];734387;1252;2999;252
1;[20];25505;308;476;186
1;[10];4031;128;191;71
1;[15];13851;218;335;129
1;[8];1804;92;134;48
1;[5];314;38;51;14
1;[30];48855;488;761;301
1;[30];48855;488;2856;301
1;[30];48855;488;2856;301
1;[30];48855;488;2856;301
1;[30];48855;952;5207;460
1;[10];4031;192;441;90
1;[10];4031;192;441;90
1;[10];4031;192;441;90
1;[10];4031;213;796;95
1;[10];4031;213;796;95
1;[10];4031;192;441;90
