{reach_basic};{epist_basic};{contr_basic};{reach_simpl_none};{epist_simpl_none};{contr_simp_none};{reach_simpl_epistemic};{epist_simpl_epistemic};{contr_simp_epistemic};{reach_simpl_control};{epist_simpl_control};{contr_simp_control}

782;2217;256;11;23;7;11;23;7;44;122;23
942;2758;311;23;99;13;23;89;14;21;74;13
961;2768;343;7;13;6;8;13;6;7;13;6
986;3037;352;7;10;5;6;9;5;6;9;5
1022;2913;350;47;143;24;14;34;8;19;48;8
1048;3153;343;34;106;14;34;106;14;35;110;14
1064;3188;360;5;6;5;6;7;5;6;10;5
1090;2979;340;21;40;11;23;40;11;21;40;11
1144;3184;383;6;7;5;6;7;5;10;20;7
1147;3317;385;34;138;17;65;236;26;40;156;17
1170;3361;384;45;185;18;45;185;18;45;185;18
1178;3100;406;20;45;15;25;50;18;18;52;14
1215;3752;410;76;234;37;74;207;36;73;213;38
1257;3322;430;131;444;56;116;385;57;75;191;40
1270;3431;455;11;37;7;11;37;7;12;39;8
1282;3753;451;11;30;6;11;30;6;11;30;6
1460;4151;484;10;19;8;11;19;8;18;46;6
1522;4143;519;33;128;14;44;160;19;33;128;14
1525;4146;507;30;90;19;28;68;14;28;68;14
1601;4415;512;59;183;30;64;183;31;47;158;25
1608;4531;543;52;135;26;63;192;29;53;132;26
1635;4475;539;54;203;19;57;203;19;31;114;15
1730;4642;557;71;152;37;97;282;44;72;168;37
1837;5076;618;55;195;33;58;181;34;55;195;33
1853;4928;625;85;275;34;79;264;28;78;264;28
2014;5694;694;5;7;4;5;7;4;7;13;6
2020;5330;684;50;126;26;20;34;10;21;92;12
2169;5886;726;13;61;8;13;61;8;13;61;8
2237;6113;776;12;52;8;15;60;9;15;54;9
2527;6891;834;36;147;17;38;161;17;36;147;17













